Team,variable,value,value_org
League Average,PassAccuracy,50.0,80.56
League Average,AveragePossession,49.99999999999999,50.0
League Average,GAPerGame,50.0,1.5214285714285714
League Average,GoalRate,50.00000000000001,0.10674993750336412
League Average,ShotsPerGame,50.0,13.835714285714285
Liverpool,GFPerGame,60.16273904206673,2.2857142857142856
Liverpool,PassAccuracy,56.602871429341405,84.1
Liverpool,AveragePossession,52.63482681175308,52.4
Liverpool,GAPerGame,59.63710457692942,1.0
Liverpool,GoalRate,58.16353475868574,0.1391304347826087
Liverpool,ShotsPerGame,58.984111424105315,16.428571428571427
Luton,GFPerGame,41.16696513166162,0.8571428571428571
Luton,PassAccuracy,27.13242832663112,68.3
Luton,AveragePossession,36.49651258976546,37.7
Luton,GAPerGame,41.15498621021546,2.0
Luton,GoalRate,39.89449816365426,0.06666666666666667
Luton,ShotsPerGame,46.60930229999331,12.857142857142858
Man City,GFPerGame,62.06231643310724,2.4285714285714284
Man City,PassAccuracy,64.99635205986016,88.6
Man City,AveragePossession,67.89486542982301,66.3
Man City,GAPerGame,64.91770982456198,0.7142857142857143
Man City,GoalRate,56.83435445838582,0.13385826771653545
Man City,ShotsPerGame,64.92401980367907,18.142857142857142
Man United,GFPerGame,43.066542522702136,1.0
Man United,PassAccuracy,53.61852276071252,82.5
Man United,AveragePossession,52.63482681175308,52.4
Man United,GAPerGame,49.0758940816643,1.5714285714285714
Man United,GoalRate,39.27770867127155,0.06422018348623854
Man United,ShotsPerGame,56.01415723431843,15.571428571428571
Newcastle,GFPerGame,63.96189382414776,2.5714285714285716
Newcastle,PassAccuracy,54.36460992786976,82.9
Newcastle,AveragePossession,52.085904559304524,51.9
Newcastle,GAPerGame,59.63710457692942,1.0
Newcastle,GoalRate,65.498467582261,0.16822429906542055
Newcastle,ShotsPerGame,55.02417250438948,15.285714285714286
Nottm Forest,GFPerGame,44.966119913742645,1.1428571428571428
Nottm Forest,PassAccuracy,37.39112687504293,73.8
Nottm Forest,AveragePossession,36.0573747878066,37.3
Nottm Forest,GAPerGame,51.71619670548058,1.4285714285714286
Nottm Forest,GoalRate,52.74730273286465,0.11764705882352941
Nottm Forest,ShotsPerGame,35.71947027077474,9.714285714285714
Sheffield United,GFPerGame,39.26738774062111,0.7142857142857143
Sheffield United,PassAccuracy,36.27199612430711,73.2
Sheffield United,AveragePossession,37.26500374319343,38.4
Sheffield United,GAPerGame,27.95347309113406,2.7142857142857144
Sheffield United,GoalRate,42.186431845576394,0.07575757575757576
Sheffield United,ShotsPerGame,34.729485540845786,9.428571428571429
Tottenham,GFPerGame,62.06231643310724,2.4285714285714284
Tottenham,PassAccuracy,59.96026368154892,85.9
Tottenham,AveragePossession,60.97844504897118,60.0
Tottenham,GAPerGame,56.99680195311314,1.1428571428571428
Tottenham,GoalRate,54.371042782315705,0.12408759124087591
Tottenham,ShotsPerGame,69.87394345332389,19.571428571428573
West Ham,GFPerGame,54.4640068689452,1.8571428571428572
West Ham,PassAccuracy,43.359824212300715,77.0
West Ham,AveragePossession,36.9356503917243,38.1
West Ham,GAPerGame,51.71619670548058,1.4285714285714286
West Ham,GoalRate,61.197044556093296,0.1511627906976744
West Ham,ShotsPerGame,44.62933284013539,12.285714285714286
Wolves,GFPerGame,44.966119913742645,1.1428571428571428
Wolves,PassAccuracy,48.20939079882265,79.6
Wolves,AveragePossession,44.62056192600413,45.1
Wolves,GAPerGame,43.79528883403174,1.8571428571428572
Wolves,GoalRate,48.61738500371233,0.10126582278481013
Wolves,ShotsPerGame,41.164386285384026,11.285714285714286
