date,team,player,value,player_team,cum_sum,pk
2023-08-11,Manchester City,Erling Haaland,2,erlinghaaland_manchestercity,2.0,0.0
2023-08-12,Newcastle Utd,Alexander Isak,2,alexanderisak_newcastleutd,2.0,0.0
2023-08-12,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,1.0,0.0
2023-08-12,Luton Town,Carlton Morris,1,carltonmorris_lutontown,1.0,1.0
2023-08-12,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,1.0,0.0
2023-08-12,West Ham,Jarrod Bowen,1,jarrodbowen_westham,1.0,0.0
2023-08-13,Brentford,Yoane Wissa,1,yoanewissa_brentford,1.0,0.0
2023-08-18,Nott'ham Forest,Chris Wood,1,chriswood_notthamforest,1.0,0.0
2023-08-19,Liverpool,Diogo Jota,1,diogojota_liverpool,1.0,0.0
2023-08-19,Wolves,Hwang Hee-chan,1,hwangheechan_wolves,1.0,0.0
2023-08-19,Manchester City,Julian Alvarez,1,julianalvarez_manchestercity,1.0,0.0
2023-08-19,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,1.0,0.0
2023-08-19,Brentford,Yoane Wissa,1,yoanewissa_brentford,2.0,0.0
2023-08-20,Aston Villa,Leon Bailey,1,leonbailey_astonvilla,1.0,0.0
2023-08-25,Chelsea,Nicolas Jackson,1,nicolasjackson_chelsea,1.0,0.0
2023-08-26,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,1.0,1.0
2023-08-26,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,2.0,1.0
2023-08-26,West Ham,Jarrod Bowen,1,jarrodbowen_westham,2.0,0.0
2023-08-27,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,1.0,0.0
2023-08-27,Liverpool,Darwin Nunez,2,darwinnunez_liverpool,2.0,0.0
2023-08-27,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,3.0,0.0
2023-09-01,West Ham,Jarrod Bowen,1,jarrodbowen_westham,3.0,0.0
2023-09-02,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,2.0,0.0
2023-09-02,Manchester City,Erling Haaland,3,erlinghaaland_manchestercity,6.0,1.0
2023-09-02,Manchester City,Julian Alvarez,1,julianalvarez_manchestercity,2.0,0.0
2023-09-02,Tottenham,Son Heung-min,3,sonheungmin_tottenham,3.0,0.0
2023-09-03,Crystal Palace,Eberechi Eze,1,eberechieze_crystalpalace,1.0,0.0
2023-09-03,Wolves,Hwang Hee-chan,1,hwangheechan_wolves,2.0,0.0
2023-09-03,Wolves,Matheus Cunha,1,matheuscunha_wolves,1.0,0.0
2023-09-03,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,2.0,0.0
