Team,CumPts,AvgGF,AvgGA,rank,HPts,AvgHGF,AvgHGA,APts,AvgAGF,AvgAGA,season
Brentford,39,1.4736842105263157,1.7105263157894737,16,22,1.5263157894736843,1.7894736842105263,17,1.4210526315789473,1.631578947368421,2023_2024
Nottm Forest,32,1.2894736842105263,1.763157894736842,17,20,1.4210526315789473,1.5789473684210527,16,1.1578947368421053,1.9473684210526316,2023_2024
Luton,26,1.368421052631579,2.236842105263158,18,16,1.4736842105263157,1.9473684210526316,10,1.263157894736842,2.526315789473684,2023_2024
Burnley,24,1.0789473684210527,2.0526315789473686,19,10,1.0,2.263157894736842,14,1.1578947368421053,1.8421052631578947,2023_2024
Sheffield United,16,0.9210526315789473,2.736842105263158,20,10,1.0,3.0,6,0.8421052631578947,2.473684210526316,2023_2024
Man City,89,2.473684210526316,0.868421052631579,1,52,3.1578947368421053,0.8947368421052632,37,1.7894736842105263,0.8421052631578947,2022_2023
Arsenal,84,2.3157894736842106,1.131578947368421,2,45,2.789473684210526,1.3157894736842106,39,1.8421052631578947,0.9473684210526315,2022_2023
Man United,75,1.5263157894736843,1.131578947368421,3,48,1.894736842105263,0.5263157894736842,27,1.1578947368421053,1.736842105263158,2022_2023
Newcastle,71,1.7894736842105263,0.868421052631579,4,39,1.894736842105263,0.7368421052631579,32,1.6842105263157894,1.0,2022_2023
Liverpool,67,1.9736842105263157,1.236842105263158,5,44,2.4210526315789473,0.8947368421052632,23,1.5263157894736843,1.5789473684210527,2022_2023
Brighton,62,1.894736842105263,1.394736842105263,6,34,1.9473684210526316,1.105263157894737,28,1.8421052631578947,1.6842105263157894,2022_2023
Aston Villa,61,1.3421052631578947,1.2105263157894737,7,38,1.736842105263158,1.105263157894737,23,0.9473684210526315,1.3157894736842106,2022_2023
Tottenham,60,1.8421052631578947,1.6578947368421053,8,37,1.9473684210526316,1.3157894736842106,23,1.736842105263158,2.0,2022_2023
Brentford,59,1.5263157894736843,1.2105263157894737,9,37,1.8421052631578947,0.9473684210526315,22,1.2105263157894737,1.4736842105263157,2022_2023
Fulham,52,1.4473684210526316,1.394736842105263,10,29,1.631578947368421,1.5263157894736843,23,1.263157894736842,1.263157894736842,2022_2023
Crystal Palace,45,1.0526315789473684,1.2894736842105263,11,28,1.105263157894737,1.2105263157894737,17,1.0,1.368421052631579,2022_2023
Chelsea,44,1.0,1.236842105263158,12,25,1.0526315789473684,1.0,19,0.9473684210526315,1.4736842105263157,2022_2023
Wolves,41,0.8157894736842105,1.5263157894736843,13,30,1.0,1.0526315789473684,11,0.631578947368421,2.0,2022_2023
West Ham,40,1.105263157894737,1.4473684210526316,14,28,1.368421052631579,1.263157894736842,12,0.8421052631578947,1.631578947368421,2022_2023
Bournemouth,39,0.9736842105263158,1.868421052631579,15,22,1.0526315789473684,1.4736842105263157,17,0.8947368421052632,2.263157894736842,2022_2023
Nottm Forest,38,1.0,1.7894736842105263,16,30,1.4210526315789473,1.263157894736842,8,0.5789473684210527,2.3157894736842106,2022_2023
Everton,36,0.8947368421052632,1.5,17,21,0.8421052631578947,1.4210526315789473,15,0.9473684210526315,1.5789473684210527,2022_2023
Leicester,34,1.3421052631578947,1.7894736842105263,18,19,1.2105263157894737,1.4210526315789473,15,1.4736842105263157,2.1578947368421053,2022_2023
Leeds,31,1.263157894736842,2.0526315789473686,19,22,1.368421052631579,1.9473684210526316,9,1.1578947368421053,2.1578947368421053,2022_2023
Southampton,25,0.9473684210526315,1.9210526315789473,20,11,1.0,1.9473684210526316,14,0.8947368421052632,1.894736842105263,2022_2023
Man City,93,2.6052631578947367,0.6842105263157895,1,47,3.0526315789473686,0.7894736842105263,46,2.1578947368421053,0.5789473684210527,2021_2022
Liverpool,92,2.473684210526316,0.6842105263157895,2,49,2.5789473684210527,0.47368421052631576,43,2.3684210526315788,0.8947368421052632,2021_2022
Chelsea,74,2.0,0.868421052631579,3,34,1.9473684210526316,1.1578947368421053,40,2.0526315789473686,0.5789473684210527,2021_2022
Tottenham,71,1.8157894736842106,1.0526315789473684,4,40,2.0,1.0,31,1.631578947368421,1.105263157894737,2021_2022
Arsenal,69,1.605263157894737,1.263157894736842,5,41,1.8421052631578947,0.8947368421052632,28,1.368421052631579,1.631578947368421,2021_2022
Man United,58,1.5,1.5,6,35,1.6842105263157894,1.1578947368421053,23,1.3157894736842106,1.8421052631578947,2021_2022
West Ham,56,1.5789473684210527,1.3421052631578947,7,32,1.736842105263158,1.368421052631579,24,1.4210526315789473,1.3157894736842106,2021_2022
Leicester,52,1.631578947368421,1.5526315789473684,8,34,1.7894736842105263,1.2105263157894737,18,1.4736842105263157,1.894736842105263,2021_2022
Brighton,51,1.105263157894737,1.1578947368421053,9,22,1.0,1.2105263157894737,29,1.2105263157894737,1.105263157894737,2021_2022
Wolves,51,1.0,1.131578947368421,10,24,1.0526315789473684,1.3157894736842106,27,0.9473684210526315,0.9473684210526315,2021_2022
Newcastle,49,1.1578947368421053,1.631578947368421,11,30,1.368421052631579,1.4210526315789473,19,0.9473684210526315,1.8421052631578947,2021_2022
Crystal Palace,48,1.3157894736842106,1.2105263157894737,12,29,1.4210526315789473,0.8947368421052632,19,1.2105263157894737,1.5263157894736843,2021_2022
Brentford,46,1.263157894736842,1.4736842105263157,13,24,1.1578947368421053,1.105263157894737,22,1.368421052631579,1.8421052631578947,2021_2022
Aston Villa,45,1.368421052631579,1.4210526315789473,14,23,1.5263157894736843,1.5263157894736843,22,1.2105263157894737,1.3157894736842106,2021_2022
Southampton,40,1.131578947368421,1.763157894736842,15,25,1.2105263157894737,1.263157894736842,15,1.0526315789473684,2.263157894736842,2021_2022
Everton,39,1.131578947368421,1.736842105263158,16,29,1.4210526315789473,1.3157894736842106,10,0.8421052631578947,2.1578947368421053,2021_2022
Leeds,38,1.105263157894737,2.0789473684210527,17,18,1.0,2.0,20,1.2105263157894737,2.1578947368421053,2021_2022
