date,team,player,value,player_team,cum_sum
2022-11-05,Leicester City,James Maddison,2,jamesmaddison_leicestercity,4.0
2022-11-06,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,6.0
2022-11-06,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,4.0
2022-11-06,Aston Villa,Jacob Ramsey,1,jacobramsey_astonvilla,2.0
2022-11-06,Newcastle Utd,Kieran Trippier,1,kierantrippier_newcastleutd,3.0
2022-11-12,Liverpool,Andrew Robertson,2,andrewrobertson_liverpool,4.0
2022-11-12,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,5.0
2022-11-13,Manchester Utd,Christian Eriksen,1,christianeriksen_manchesterutd,4.0
2022-12-26,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,5.0
2022-12-26,Arsenal,Granit Xhaka,1,granitxhaka_arsenal,4.0
2022-12-26,Newcastle Utd,Kieran Trippier,1,kierantrippier_newcastleutd,4.0
2022-12-26,Arsenal,Martin Odegaard,2,martinodegaard_arsenal,4.0
2022-12-26,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,4.0
2022-12-26,Brighton,Solly March,1,sollymarch_brighton,3.0
2022-12-27,Manchester Utd,Christian Eriksen,1,christianeriksen_manchesterutd,5.0
2022-12-28,Manchester City,Jack Grealish,2,jackgrealish_manchestercity,2.0
2022-12-31,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,2.0
2022-12-31,Arsenal,Martin Odegaard,1,martinodegaard_arsenal,5.0
2022-12-31,Crystal Palace,Michael Olise,2,michaelolise_crystalpalace,4.0
2022-12-31,Brighton,Pascal Gross,1,pascalgross_brighton,3.0
2022-12-31,Manchester City,Riyad Mahrez,1,riyadmahrez_manchestercity,1.0
2023-01-02,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,1.0
2023-01-03,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,3.0
2023-01-03,Manchester Utd,Christian Eriksen,1,christianeriksen_manchesterutd,6.0
2023-01-04,Tottenham,Ivan Perisic,1,ivanperisic_tottenham,5.0
2023-01-04,Leeds United,Jack Harrison,1,jackharrison_leedsunited,4.0
2023-01-05,Manchester City,Jack Grealish,1,jackgrealish_manchestercity,3.0
2023-01-14,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,10.0
2023-01-14,Nott'ham Forest,Morgan Gibbs-White,2,morgangibbswhite_notthamforest,4.0
2023-01-14,Brighton,Solly March,1,sollymarch_brighton,4.0
2023-01-15,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,7.0
2023-01-18,Manchester Utd,Christian Eriksen,1,christianeriksen_manchesterutd,7.0
2023-01-19,Manchester City,Riyad Mahrez,1,riyadmahrez_manchestercity,2.0
2023-01-22,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,4.0
2023-01-22,Arsenal,Granit Xhaka,1,granitxhaka_arsenal,5.0
2023-01-22,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,11.0
2023-01-22,Manchester City,Riyad Mahrez,1,riyadmahrez_manchestercity,3.0
2023-02-04,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,2.0
2023-02-11,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,8.0
2023-02-11,Leicester City,James Maddison,1,jamesmaddison_leicestercity,5.0
2023-02-12,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,4.0
2023-02-12,Manchester City,Riyad Mahrez,1,riyadmahrez_manchestercity,4.0
2023-02-15,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,12.0
2023-02-18,Everton,Alex Iwobi,1,alexiwobi_everton,6.0
2023-02-18,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,3.0
2023-02-18,Bournemouth,Dominic Solanke,1,dominicsolanke_bournemouth,4.0
2023-02-18,Manchester City,Jack Grealish,1,jackgrealish_manchestercity,4.0
2023-02-18,Arsenal,Martin Odegaard,1,martinodegaard_arsenal,6.0
2023-02-18,Crystal Palace,Michael Olise,1,michaelolise_crystalpalace,5.0
2023-02-18,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,5.0
2023-02-18,Nott'ham Forest,Morgan Gibbs-White,1,morgangibbswhite_notthamforest,5.0
2023-02-18,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,2.0
2023-02-19,Manchester Utd,Bruno Fernandes,2,brunofernandes_manchesterutd,6.0
